cline	Exp	dose	ncells	ncolonies
cal33	e1	0	900	182
cal33	e1	1	1800	284
cal33	e1	2	3000	323
cal33	e1	3	4500	235
cal33	e1	4	12000	328
cal33	e1	6	30000	142
cal33	e2	0	900	124
cal33	e2	1	1800	207
cal33	e2	2	3000	272
cal33	e2	3	4500	195
cal33	e2	4	9000	198
cal33	e2	6	24000	184
cal33	e3	0	750	65
cal33	e3	1	1050	78
cal33	e3	2	1800	75
cal33	e3	3	2700	83
cal33	e3	4	4500	53
cal33	e3	6	18000	77
cal33	e4	0	900	61
cal33	e4	1	1200	68
cal33	e4	2	1650	62
cal33	e4	3	3000	78
cal33	e4	4	6000	91
cal33	e4	6	22500	79
okf6TERT1	e1	0	600	114
okf6TERT1	e1	1	900	109
okf6TERT1	e1	2	1500	94
okf6TERT1	e1	3	2400	99
okf6TERT1	e1	4	4500	70
okf6TERT1	e1	6	18000	77
okf6TERT1	e2	0	600	104
okf6TERT1	e2	1	900	82
okf6TERT1	e2	2	1500	100
okf6TERT1	e2	3	2400	58
okf6TERT1	e2	4	4500	94
okf6TERT1	e2	6	19500	84
okf6TERT1	e3	0	600	60
okf6TERT1	e3	1	900	72
okf6TERT1	e3	2	1500	61
okf6TERT1	e3	3	2400	62
okf6TERT1	e3	4	4500	61
okf6TERT1	e3	6	18000	60
okf6TERT1	e4	0	600	90
okf6TERT1	e4	1	900	90
okf6TERT1	e4	2	1500	61
okf6TERT1	e4	3	2400	65
okf6TERT1	e4	4	4500	63
okf6TERT1	e4	6	18000	64
okf6TERT1	e5	0	900	83
okf6TERT1	e5	1	1500	89
okf6TERT1	e5	2	2400	115
okf6TERT1	e5	3	4500	116
okf6TERT1	e5	4	7500	84
okf6TERT1	e5	6	18000	76
okf6TERT1	e6	0	600	102
okf6TERT1	e6	1	900	71
okf6TERT1	e6	2	1500	53
okf6TERT1	e6	3	2400	43
okf6TERT1	e6	4	4500	20
okf6TERT1	e6	6	18000	16
okf6TERT1	e7	0	600	86
okf6TERT1	e7	1	900	36
okf6TERT1	e7	2	1500	54
okf6TERT1	e7	3	2400	33
okf6TERT1	e7	4	4500	21
okf6TERT1	e7	6	18000	16
okf6TERT1	e8	0	600	69
okf6TERT1	e8	1	900	75
okf6TERT1	e8	2	1500	60
okf6TERT1	e8	3	2400	51
okf6TERT1	e8	4	5400	58
okf6TERT1	e8	6	21000	45
